season,team,avg_age_toi,pct_under_25,pct_over_32,pts_top1_share,pts_top3_share,pts_top6_share,pts_gini,toi_gini,toi_top4D_avg,goalie_top_start_pct,goalie_sv_pct,pp_pct,pk_pct,shots_for_pg,shots_against_pg,team_points,games_played,cap_hit_total,cap_pct_ceiling,cap_hit_top1,cap_top1_share,cap_top3_share,cap_gini,cap_fwd_pct,cap_def_pct,cap_goalie_pct
20182019,EDM,25.9965489690352,0.3616010854816825,0.07530529172320218,0.19141914191419143,0.47854785478547857,0.6551155115511551,0.6331310550409881,0.41902900216561534,22.462374166666667,0.8095238095238095,,0.211711,0.747968,29.17073,31.69512,79.0,82.0,,,,,,,,,
20182019,FLA,26.51544924930215,0.436418359668924,0.11888638073739653,0.14545454545454545,0.39090909090909093,0.65,0.603448275862069,0.45500312132956466,19.999236666666665,0.5063291139240507,,,,,,,,,,,,,,,,
20182019,LAK,28.495763905473112,0.33467417538214,0.2244569589702333,0.1276595744680851,0.33191489361702126,0.5468085106382978,0.5197793538219071,0.44971183138745907,21.457704583333335,0.5609756097560976,,,,,,,,,,,,,,,,
20182019,MIN,27.965617944272566,0.24610169491525424,0.26033898305084746,0.11275415896487985,0.2957486136783734,0.5249537892791127,0.4912199630314231,0.38078120586286524,23.68903,0.8048780487804879,,0.203319,0.816667,31.30487,29.5,83.0,82.0,,,,,,,,,
20182019,MTL,26.668598430851596,0.31467661691542287,0.08644278606965174,0.10480349344978165,0.2663755458515284,0.487627365356623,0.4840853954391071,0.3201839186232083,21.280775416666664,0.7804878048780488,,,,,,,,,,,,,,,,
20182019,NSH,28.118940921817686,0.11228689006466784,0.10405643738977072,0.09322033898305085,0.2542372881355932,0.4604519774011299,0.5486682808716707,0.4724672938185033,23.88997333333333,0.6931818181818182,,,,,,,,,,,,,,,,
20182019,NJD,26.071681965640636,0.4897209985315712,0.16079295154185022,0.09416195856873823,0.2693032015065913,0.480225988700565,0.5470809792843692,0.44850714375851575,20.969882083333335,0.4634146341463415,,,,,,,,,,,,,,,,
20182019,NYI,27.43808324131438,0.2882716049382716,0.11666666666666667,0.10681114551083591,0.29102167182662536,0.5061919504643962,0.44308168611574184,0.33357674434380336,20.34572166666667,0.5666666666666667,,,,,,,,,,,,,,,,
20182019,NYR,25.319456650378278,0.44624447717231225,0.0,0.14396887159533073,0.31906614785992216,0.5155642023346303,0.5007926214151897,0.39487629516819744,20.286946666666665,0.6341463414634146,,,,,,,,,,,,,,,,
20182019,OTT,25.117483537343762,0.5290819901892081,0.0,0.10396975425330812,0.27977315689981097,0.502835538752363,0.5991927655443725,0.48902248964021267,21.25992375,0.5340909090909091,,0.203539,0.791667,29.62195,35.7439,64.0,82.0,,,,,,,,,
20182019,PHI,25.468760493810734,0.5137481910274964,0.03400868306801737,0.1349206349206349,0.3603174603174603,0.573015873015873,0.5373626373626372,0.4143327138090511,20.551259166666668,0.32323232323232326,,0.17094,0.784811,31.5,32.5,82.0,82.0,,,,,,,,,
20182019,PIT,28.025209998003355,0.3596549435965494,0.09754479097544791,0.13741496598639455,0.3564625850340136,0.5863945578231292,0.5694784580498866,0.40773933917374494,21.667895,0.627906976744186,,0.238493,0.8,33.3372,33.23255,100.0,86.0,,,,,,,,,
20182019,STL,27.576051288969975,0.29839958699019103,0.15178110480123902,0.11627906976744186,0.29186046511627906,0.49883720930232556,0.5005613472333601,0.3948037395364974,21.990065833333336,0.5544554455445545,,,,,,,,,,,,,,,,
20182019,SJS,28.81660765629949,0.18054837040869115,0.17951370926021729,0.09919839679358718,0.2785571142284569,0.49799599198396793,0.5071522355054936,0.3798518591485247,23.09879291666667,0.803921568627451,,,,,,,,,,,,,,,,
20182019,TBL,26.732512131472046,0.2800729040097205,0.14763061968408261,0.14332965821389196,0.35611907386990077,0.523704520396913,0.46030871003307605,0.28234672644728853,21.2064525,0.6627906976744186,,,,,,,,,,,,,,,,
20182019,TOR,26.77233810693027,0.48826886493341787,0.11223842739378567,0.12009803921568628,0.33088235294117646,0.5392156862745098,0.46705882352941175,0.32435075839733596,21.418017916666667,0.7282608695652174,,0.215859,0.781819,33.25842,33.3146,106.0,89.0,,,,,,,,,
20182019,VAN,25.89451535281741,0.4576737783895389,0.13351686166551963,0.1168141592920354,0.3238938053097345,0.4902654867256637,0.504025121324579,0.3876612544320286,21.75254791666667,0.8571428571428571,,0.171314,0.811024,29.67073,31.67073,81.0,82.0,,,,,,,,,
20182019,VGK,27.874588448706522,0.15699450213805743,0.13439218081857054,0.09668874172185431,0.2635761589403974,0.48079470198675495,0.4470671712393566,0.3327210355479966,20.895149166666666,0.7640449438202247,,,,,,,,,,,,,,,,
20182019,WSH,28.288510295854657,0.25867315885575165,0.09007912355447352,0.12219451371571072,0.32169576059850374,0.5448877805486284,0.502447584741849,0.3501694863229232,22.23548875,0.7303370786516854,,,,,,,,,,,,,,,,
20182019,WPG,26.36744989433613,0.3707865168539326,0.09580130100532229,0.11707317073170732,0.3121951219512195,0.5073170731707317,0.4945332211942808,0.3678977016037406,22.414724583333335,0.7727272727272727,,,,,,,,,,,,,,,,
20192020,ANA,26.724014191156705,0.3721498371335505,0.0741042345276873,0.09772727272727273,0.28863636363636364,0.5022727272727273,0.4872727272727271,0.3685684893421086,21.16064625,0.7183098591549296,,0.146739,0.769954,29.66197,32.14084,67.0,71.0,,,,,,,,,
20192020,ARI,27.648413835073814,0.36028368794326243,0.18581560283687942,0.09075043630017451,0.2582897033158813,0.47469458987783597,0.43972345281245806,0.32770765579489347,22.020535,0.4810126582278481,,0.182572,0.805195,31.05063,33.13924,82.0,79.0,,,,,,,,,
20192020,BOS,27.327193919761026,0.4467548834278513,0.14429741650913674,0.14093959731543623,0.3597315436241611,0.5637583892617449,0.6296420581655482,0.47456959699895007,21.41946,0.5421686746987951,,0.247232,0.840467,32.18072,29.9759,110.0,83.0,,,,,,,,,
20192020,BUF,25.378554099295215,0.46761984861227923,0.01345668629100084,0.1550695825049702,0.3379721669980119,0.5447316103379721,0.5087990575068111,0.37514506522686375,20.030499583333334,0.4927536231884058,,0.188775,0.745946,29.28985,31.13043,68.0,69.0,,,,,,,,,
20192020,CGY,26.811212562826476,0.4376278118609407,0.10088616223585549,0.10236220472440945,0.29606299212598425,0.5228346456692914,0.49173228346456677,0.363020060851855,21.56480541666667,0.6,,,,,,,,,,,,,,,,
20192020,CAR,25.679564367282136,0.3159041394335512,0.0196078431372549,0.11746987951807229,0.32228915662650603,0.5030120481927711,0.46173583221776004,0.3402845233724001,22.610110416666664,0.5657894736842105,,0.212765,0.836957,32.76315,29.68421,89.0,76.0,,,,,,,,,
20192020,CHI,26.662785625105037,0.43306510607168985,0.07461594732991954,0.15346534653465346,0.3564356435643564,0.570957095709571,0.5528621827700011,0.3939172605063941,21.091220416666665,0.7164179104477612,,0.153846,0.81624,31.29113,35.21518,80.0,79.0,,,,,,,,,
